SPX Index,,,LYV US Equity,
Date,TOT_RETURN_INDEX_NET_DVDS,,Date,TOT_RETURN_INDEX_NET_DVDS
1/31/1990,329.08,,12/30/2005,13.1
2/28/1990,333.2935,,1/31/2006,17.75
3/30/1990,342.1035,,2/28/2006,17.85
4/30/1990,333.5347,,3/31/2006,19.84
5/31/1990,365.959,,4/28/2006,19
6/29/1990,363.4825,,5/31/2006,22.8
7/31/1990,362.286,,6/30/2006,20.36
8/31/1990,329.5533,,7/31/2006,20.96
9/28/1990,313.5185,,8/31/2006,20.98
10/31/1990,312.1602,,9/29/2006,20.42
11/30/1990,332.2769,,10/31/2006,21.26
12/31/1990,341.5066,,11/30/2006,21.44
1/31/1991,356.3116,,12/29/2006,22.4
2/28/1991,381.7314,,1/31/2007,24.68
3/29/1991,390.9754,,2/28/2007,23.14
4/30/1991,391.8685,,3/30/2007,22.06
5/31/1991,408.7143,,4/30/2007,20.29
6/28/1991,389.9999,,5/31/2007,22.4
7/31/1991,408.1401,,6/29/2007,22.38
8/30/1991,417.7334,,7/31/2007,19.86
9/30/1991,410.7402,,8/31/2007,20.7
10/31/1991,416.2456,,9/28/2007,21.25
11/29/1991,399.5002,,10/31/2007,20.44
12/31/1991,445.0933,,11/30/2007,13.42
1/31/1992,436.8104,,12/31/2007,14.52
2/28/1992,442.4599,,1/31/2008,10.9
3/31/1992,433.8622,,2/29/2008,11.87
4/30/1992,446.5843,,3/31/2008,12.13
5/29/1992,448.8013,,4/30/2008,13.79
6/30/1992,442.1273,,5/30/2008,15.15
7/31/1992,460.1743,,6/30/2008,10.58
8/31/1992,450.7703,,7/31/2008,12.62
9/30/1992,456.0707,,8/29/2008,16.05
10/30/1992,457.6344,,9/30/2008,16.27
11/30/1992,473.1708,,10/31/2008,11.25
12/31/1992,478.9681,,11/28/2008,4.89
1/29/1993,482.9683,,12/31/2008,5.74
2/26/1993,489.5449,,1/30/2009,5.23
3/31/1993,499.8734,,2/27/2009,3.51
4/30/1993,487.7904,,3/31/2009,2.67
5/31/1993,500.7939,,4/30/2009,3.91
6/30/1993,502.2466,,5/29/2009,5.72
7/30/1993,500.2266,,6/30/2009,4.86
8/31/1993,519.1556,,7/31/2009,5.84
9/30/1993,515.1542,,8/31/2009,7.03
10/29/1993,525.8036,,9/30/2009,8.19
11/30/1993,520.7904,,10/30/2009,6.66
12/31/1993,527.0744,,11/30/2009,7.16
1/31/1994,544.9796,,12/31/2009,8.51
2/28/1994,530.2005,,1/29/2010,11.47
3/31/1994,507.1378,,2/26/2010,12.99
4/29/1994,513.6342,,3/31/2010,14.5
5/31/1994,522.023,,4/30/2010,15.69
6/30/1994,509.2588,,5/28/2010,12.23
7/29/1994,525.9432,,6/30/2010,10.45
8/31/1994,547.4566,,7/30/2010,9.23
9/30/1994,534.0672,,8/31/2010,8.64
10/31/1994,546.0402,,9/30/2010,9.88
11/30/1994,526.1813,,10/29/2010,9.49
12/30/1994,533.9448,,11/30/2010,10.76
1/31/1995,547.7624,,12/31/2010,11.42
2/28/1995,569.0889,,1/31/2011,10.4
3/31/1995,585.8516,,2/28/2011,10.63
4/28/1995,603.0707,,3/31/2011,10
5/31/1995,627.1144,,4/29/2011,11.09
6/30/1995,641.664,,5/31/2011,11.53
7/31/1995,662.9128,,6/30/2011,11.47
8/31/1995,664.5478,,7/29/2011,11.1
9/29/1995,692.5788,,8/31/2011,9.25
10/31/1995,690.0781,,9/30/2011,8.01
11/30/1995,720.3202,,10/31/2011,9.39
12/29/1995,734.1659,,11/30/2011,8.64
1/31/1996,759.0487,,12/30/2011,8.31
2/29/1996,766.1013,,1/31/2012,10.28
3/29/1996,773.4764,,2/29/2012,9.32
4/30/1996,784.8089,,3/30/2012,9.4
5/31/1996,804.9606,,4/30/2012,9.06
6/28/1996,808.0159,,5/31/2012,9.35
7/31/1996,772.283,,6/29/2012,9.18
8/30/1996,788.5999,,7/31/2012,8.92
9/30/1996,832.9474,,8/31/2012,8.52
10/31/1996,855.8629,,9/28/2012,8.61
11/29/1996,920.4939,,10/31/2012,9.15
12/31/1996,902.242,,11/30/2012,8.78
1/31/1997,958.5239,,12/31/2012,9.31
2/28/1997,966.0495,,1/31/2013,10.26
3/31/1997,926.4331,,2/28/2013,10.59
4/30/1997,981.6263,,3/28/2013,12.37
5/30/1997,1041.3425,,4/30/2013,12.63
6/30/1997,1087.9702,,5/31/2013,13.61
7/31/1997,1174.3993,,6/28/2013,15.5
8/29/1997,1108.6214,,7/31/2013,16.38
9/30/1997,1169.3007,,8/30/2013,16.86
10/31/1997,1130.2433,,9/30/2013,18.55
11/28/1997,1182.5292,,10/31/2013,19.44
12/31/1997,1202.7973,,11/29/2013,18.37
1/30/1998,1216.0327,,12/31/2013,19.76
2/27/1998,1303.6861,,1/31/2014,21.27
3/31/1998,1370.3824,,2/28/2014,22.69
4/30/1998,1384.0885,,3/31/2014,21.75
5/29/1998,1360.1999,,4/30/2014,20.88
6/30/1998,1415.3977,,5/30/2014,23.72
7/31/1998,1400.3073,,6/30/2014,24.69
8/31/1998,1198.0522,,7/31/2014,23.21
9/30/1998,1274.749,,8/29/2014,21.96
10/30/1998,1378.3327,,9/30/2014,24.02
11/30/1998,1461.8269,,10/31/2014,26
12/31/1998,1545.9786,,11/28/2014,26.8
1/29/1999,1610.602,,,
2/26/1999,1560.5417,,,
3/31/1999,1622.9591,,,
4/30/1999,1685.7944,,,
5/31/1999,1645.9518,,,
6/30/1999,1737.2243,,,
7/30/1999,1683.0157,,,
8/31/1999,1674.7043,,,
9/30/1999,1628.8475,,,
10/29/1999,1731.8666,,,
11/30/1999,1767.0628,,,
12/31/1999,1871.051,,,
1/31/2000,1777.0559,,,
2/29/2000,1743.4369,,,
3/31/2000,1913.8882,,,
4/28/2000,1856.3166,,,
5/31/2000,1818.2001,,,
6/30/2000,1863.031,,,
7/31/2000,1834.0468,,,
8/31/2000,1947.9041,,,
9/29/2000,1845.089,,,
10/31/2000,1837.2541,,,
11/30/2000,1692.5195,,,
12/29/2000,1700.8113,,,
1/31/2001,1761.1175,,,
2/28/2001,1600.6246,,,
3/30/2001,1499.2816,,,
4/30/2001,1615.6861,,,
5/31/2001,1626.5236,,,
6/29/2001,1586.9398,,,
7/31/2001,1571.2962,,,
8/31/2001,1473.0333,,,
9/28/2001,1354.0928,,,
10/31/2001,1379.9081,,,
11/30/2001,1485.7425,,,
12/31/2001,1498.7686,,,
1/31/2002,1476.9113,,,
2/28/2002,1448.4022,,,
3/29/2002,1502.8724,,,
4/30/2002,1411.7847,,,
5/31/2002,1401.4123,,,
6/28/2002,1301.7489,,,
7/31/2002,1200.3107,,,
8/30/2002,1208.1547,,,
9/30/2002,1076.9728,,,
10/31/2002,1171.6702,,,
11/29/2002,1240.5681,,,
12/31/2002,1167.7077,,,
1/31/2003,1137.178,,,
2/28/2003,1120.0914,,,
3/31/2003,1130.9238,,,
4/30/2003,1224.0059,,,
5/30/2003,1288.4289,,,
6/30/2003,1304.8879,,,
7/31/2003,1327.8544,,,
8/29/2003,1353.6955,,,
9/30/2003,1339.3443,,,
10/31/2003,1415.0355,,,
11/28/2003,1427.4491,,,
12/31/2003,1502.2257,,,
1/30/2004,1529.796,,,
2/27/2004,1551.0513,,,
3/31/2004,1527.6512,,,
4/30/2004,1503.7058,,,
5/31/2004,1524.2848,,,
6/30/2004,1553.9057,,,
7/30/2004,1502.4863,,,
8/31/2004,1508.5006,,,
9/30/2004,1524.8369,,,
10/29/2004,1548.128,,,
11/30/2004,1610.7547,,,
12/31/2004,1665.4868,,,
1/31/2005,1624.8931,,,
2/28/2005,1659.0719,,,
3/31/2005,1629.7248,,,
4/29/2005,1598.8264,,,
5/31/2005,1649.6566,,,
6/30/2005,1652.0169,,,
7/29/2005,1713.4302,,,
8/31/2005,1697.8106,,,
9/30/2005,1711.5558,,,
10/31/2005,1683.0001,,,
11/30/2005,1746.5959,,,
12/30/2005,1747.1501,,,
1/31/2006,1793.4121,,,
2/28/2006,1798.2585,,,
3/31/2006,1820.6031,,,
4/28/2006,1845.0393,,,
5/31/2006,1792,,,
6/30/2006,1794.34,,,
7/31/2006,1805.3939,,,
8/31/2006,1848.2821,,,
9/29/2006,1895.8344,,,
10/31/2006,1957.5832,,,
11/30/2006,1994.7605,,,
12/29/2006,2022.56,,,
1/31/2007,2053.1203,,,
2/28/2007,2013.0817,,,
3/30/2007,2035.5307,,,
4/30/2007,2125.6588,,,
5/31/2007,2199.7494,,,
6/29/2007,2163.2,,,
7/31/2007,2096.22,,,
8/31/2007,2127.587,,,
9/28/2007,2207.0481,,,
10/31/2007,2242.1505,,,
11/30/2007,2150.0646,,,
12/31/2007,2135.0809,,,
1/31/2008,2007.0345,,,
2/29/2008,1941.8955,,,
3/31/2008,1933.4831,,,
4/30/2008,2027.6174,,,
5/30/2008,2053.8766,,,
6/30/2008,1880.8862,,,
7/31/2008,1865.068,,,
8/29/2008,1892.0579,,,
9/30/2008,1723.6454,,,
10/31/2008,1434.199,,,
11/28/2008,1331.2455,,,
12/31/2008,1345.2765,,,
1/30/2009,1232.0181,,,
2/27/2009,1101.2589,,,
3/31/2009,1197.5401,,,
4/30/2009,1312.034,,,
5/29/2009,1385.2983,,,
6/30/2009,1388.0707,,,
7/31/2009,1492.8892,,,
8/31/2009,1546.6969,,,
9/30/2009,1604.3617,,,
10/30/2009,1574.5818,,,
11/30/2009,1668.9401,,,
12/31/2009,1701.1672,,,
1/29/2010,1640.0589,,,
2/26/2010,1690.7675,,,
3/31/2010,1792.7536,,,
4/30/2010,1821.0453,,,
5/31/2010,1675.7781,,,
6/30/2010,1588.1723,,,
7/30/2010,1699.3785,,,
8/31/2010,1622.7966,,,
9/30/2010,1767.5683,,,
10/29/2010,1834.7878,,,
11/30/2010,1835.082,,,
12/31/2010,1957.682,,,
1/31/2011,2004.0714,,,
