SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
12/30/27,17.66,,1/31/95,41.3771,,12/31/87,100,,12/31/69,100,,12/31/69,100,,12/31/98,100,,12/31/87,100,,12/29/78,40.52
1/31/28,17.57,,2/28/95,41.5232,,1/29/88,102.33,,1/30/70,98.1349,,1/30/70,98.62,,1/29/99,102.6377,,1/29/88,104.96,,1/31/79,44.18
2/29/28,17.26,,3/31/95,40.3451,,2/29/88,108.073,,2/27/70,99.057,,2/27/70,96.1,,2/26/99,103.4274,,2/29/88,105.72,,2/28/79,42.78
3/30/28,19.28,,4/28/95,42.4356,,3/31/88,111.222,,3/31/70,102.7929,,3/31/70,97.34,,3/31/99,106.4588,,3/31/88,111.2,,3/30/79,46.94
4/30/28,19.75,,5/31/95,43.7637,,4/29/88,112.448,,4/30/70,90.061,,4/30/70,88.97,,4/30/99,111.9901,,4/29/88,115.88,,4/30/79,48
5/31/28,20,,6/30/95,43.3977,,5/31/88,110.041,,5/29/70,87.3769,,5/29/70,84.28,,5/31/99,108.7406,,5/31/88,114.92,,5/31/79,47.13
6/29/28,19.14,,7/31/95,45.4345,,6/30/88,109.746,,6/30/70,88.6869,,6/30/70,85.85,,6/30/99,111.9986,,6/30/88,124.81,,6/29/79,49.62
7/31/28,19.43,,8/31/95,45.4681,,7/29/88,111.593,,7/31/70,88.5859,,7/31/70,89,,7/30/99,108.9034,,7/29/88,127.02,,7/31/79,51.08
8/31/28,20.87,,9/29/95,44.6401,,8/31/88,105.278,,8/31/70,87.343,,8/31/70,89.1,,8/31/99,111.5608,,8/31/88,116.1,,8/31/79,55.05
9/28/28,21.14,,10/31/95,43.606,,9/30/88,109.618,,9/30/70,86.037,,9/30/70,89.49,,9/30/99,109.7065,,9/30/88,116.6,,9/28/79,54.68
10/31/28,21.68,,11/30/95,44.5872,,10/31/88,116.601,,10/30/70,86.845,,10/30/70,88.45,,10/29/99,115.1395,,10/31/88,122.35,,10/31/79,48.51
11/30/28,24.28,,12/29/95,45.7403,,11/30/88,120.314,,11/30/70,84.039,,11/30/70,84.37,,11/30/99,123.3704,,11/30/88,123.62,,11/30/79,52.43
12/31/28,24.35,,1/31/96,48.8743,,12/30/88,121.202,,12/31/70,84.4219,,12/31/70,85.87,,12/31/99,136.5676,,12/30/88,125.84,,12/31/79,55.91
1/31/29,25.74,,2/29/96,48.771,,1/31/89,125.369,,1/29/71,88.7489,,1/29/71,89.07,,1/31/00,129.8556,,1/31/89,140.64,,1/31/80,60.5
2/28/29,25.59,,3/29/96,49.2,,2/28/89,124.408,,2/26/71,92.537,,2/26/71,89.58,,2/29/00,138.8237,,2/28/89,139.5,,2/29/80,59.22
3/29/29,25.53,,4/30/96,51.3153,,3/31/89,123.495,,3/31/71,99.8899,,3/31/71,93.17,,3/31/00,143.1207,,3/31/89,141.89,,3/31/80,48.27
4/30/29,25.94,,5/31/96,52.0701,,4/28/89,126.365,,4/30/71,104.7779,,4/30/71,96.48,,4/28/00,143.8587,,4/28/89,150.76,,4/30/80,51.18
5/31/29,24.83,,6/28/96,52.6031,,5/31/89,123.158,,5/31/71,103.75,,5/31/71,98,,5/31/00,140.588,,5/31/89,143.78,,5/30/80,55.26
6/28/29,27.41,,7/31/96,50.129,,6/30/89,121.227,,6/30/71,113.393,,6/30/71,100.03,,6/30/00,139.0958,,6/30/89,133.15,,6/30/80,57.47
7/31/29,28.88,,8/30/96,50.652,,7/31/89,134.694,,7/30/71,113.6459,,7/30/71,103.99,,7/31/00,141.5799,,7/31/89,144.73,,7/31/80,63.81
8/30/29,31.71,,9/30/96,53.5009,,8/31/89,131.299,,8/31/71,98.7691,,8/31/71,102.23,,8/31/00,145.9258,,8/31/89,141.96,,8/29/80,67.97
9/30/29,30.16,,10/31/96,53.548,,9/29/89,135.039,,9/30/71,101.1869,,9/30/71,100.39,,9/29/00,140.0236,,9/29/89,151.02,,9/30/80,69.94
10/31/29,24.15,,11/29/96,57.2904,,10/31/89,130.458,,10/29/71,95.2942,,10/29/71,96.91,,10/31/00,144.5814,,10/31/89,148.17,,10/31/80,72.64
11/29/29,20.92,,12/31/96,58.249,,11/30/89,135.359,,11/30/71,101.2638,,11/30/71,99.78,,11/30/00,135.2515,,11/30/89,154.08,,11/28/80,77.7
12/31/29,21.45,,1/31/97,62.7917,,12/29/89,139.569,,12/31/71,109.6344,,12/31/71,108.31,,12/29/00,133.9908,,12/29/89,161.09,,12/31/80,74.8
1/31/30,22.79,,2/28/97,65.1493,,1/31/90,132.914,,1/31/72,116.1469,,1/31/72,114.28,,1/31/01,135.3356,,1/31/90,160.57,,1/30/81,74.33
2/28/30,23.28,,3/31/97,66.9252,,2/28/90,127.092,,2/29/72,124.2045,,2/29/72,121.44,,2/28/01,124.8533,,2/28/90,166.63,,2/27/81,74.52
3/31/30,25.14,,4/30/97,68.1187,,3/30/90,118.996,,3/31/72,130.0393,,3/31/72,125.09,,3/30/01,120.2351,,3/30/90,167.04,,3/31/81,80.25
4/30/30,24.9,,5/30/97,69.5742,,4/30/90,117.243,,4/28/72,137.1389,,4/28/72,127.74,,4/30/01,128.4901,,4/30/90,159.67,,4/30/81,82.25
5/30/30,24.49,,6/30/97,75.74,,5/31/90,129.242,,5/31/72,148.5744,,5/31/72,131.54,,5/31/01,127.9574,,5/31/90,175.04,,5/29/81,84.72
6/30/30,20.46,,7/31/97,84.2456,,6/29/90,128.119,,6/30/72,152.336,,6/30/72,127.71,,6/29/01,123.3934,,6/29/90,178.79,,6/30/81,82.56
7/31/30,21.21,,8/29/97,76.1893,,7/31/90,129.157,,7/31/72,165.0771,,7/31/72,134.26,,7/31/01,119.6886,,7/31/90,189.26,,7/31/81,80.41
8/29/30,21.37,,9/30/97,82.1865,,8/31/90,116.748,,8/31/72,168.873,,8/31/72,135.42,,8/31/01,112.2956,,8/31/90,161.67,,8/31/81,73.94
9/30/30,18.59,,10/31/97,75.019,,9/28/90,104.283,,9/29/72,176.2871,,9/29/72,130.68,,9/28/01,100.8176,,9/28/90,136.53,,9/30/81,67.55
10/31/30,16.94,,11/28/97,78.3212,,10/31/90,113.615,,10/31/72,181.6149,,10/31/72,131.73,,10/31/01,105.1987,,10/31/90,144.82,,10/30/81,73.06
11/28/30,16.38,,12/31/97,82.7686,,11/30/90,111.441,,11/30/72,213.0588,,11/30/72,140.06,,11/30/01,110.0782,,11/30/90,139.16,,11/30/81,75.14
12/31/30,15.34,,1/30/98,87.7248,,12/31/90,113.564,,12/29/72,232.2636,,12/29/72,144.37,,12/31/01,113.5245,,12/31/90,145.5,,12/31/81,73.67
1/30/31,16.19,,2/27/98,94.1626,,1/31/91,117.497,,1/31/73,235.5526,,1/31/73,146.52,,1/31/02,111.2848,,1/31/91,153.08,,1/29/82,70.96
2/27/31,18.03,,3/31/98,104.7628,,2/28/91,128.281,,2/28/73,223.1166,,2/28/73,158.27,,2/28/02,110.7346,,2/28/91,171.6,,2/26/82,67.21
3/31/31,16.69,,4/30/98,105.106,,3/29/91,124.438,,3/30/73,225.1584,,3/30/73,158.9,,3/29/02,115.7734,,3/29/91,179.03,,3/31/82,66.21
4/30/31,15.09,,5/29/98,110.2305,,4/30/91,125.212,,4/30/73,199.9545,,4/30/73,149.63,,4/30/02,111.3253,,4/30/91,176.56,,4/30/82,69.59
5/29/31,13.02,,6/30/98,113.3368,,5/31/91,127.942,,5/31/73,204.4008,,5/31/73,152.89,,5/31/02,107.1879,,5/31/91,178.64,,5/31/82,67.39
